,target,utterance
0,about_me_personally__my_past__DSR,has she studied data science?
1,about_me_personally__my_past__DSR,I want to know where did rita study to become a data scientist.
2,about_me_personally__my_past__DSR,what can you tell about drs?
3,about_me_personally__my_past__DSR,Who enocouraged her to learn machine learning?
4,about_me_personally__my_past__DSR,who helped rita become a data scientist?
5,about_me_personally__my_past__DSR,was dsr very expensive?
6,about_me_personally__my_past__DSR,would you say DSR was worth it?
7,about_me_personally__my_past__DSR,did she start learning how to become a data scientist many years ago?
8,about_me_personally__my_past__DSR,who is Jose quesada?
9,about_me_personally__my_past__DSR,what did rita do to become data scientist?
10,about_me_personally__my_past__DSR,what is dsr?
11,about_me_personally__my_past__DSR,has rita studied NLP?
12,about_me_personally__my_past__DSR,what is data science?
13,about_me_personally__my_past__DSR,How did you learn machine learning?
14,about_me_personally__my_past__DSR,does rita believe in fake news?
15,about_me_personally__my_past__DSR,what was her first contact with the world of technology?
16,about_me_personally__my_past__DSR,what can you tell me about how rita became a data scientist?
17,about_me_personally__my_past__DSR,did she go to a data science bootcamp?
18,about_me_personally__my_past__DSR,how did she become a data scientistis?
19,about_me_personally__my_past__DSR,and what is dsr?
20,about_me_personally__my_past__DSR,wht did she learn in that ML bootcamp she did?
21,about_me_personally__my_past__DSR,how did she become a data scientist?
22,about_me_personally__my_past__DSR,where did she study data science?
23,about_me_personally__my_past__DSR,does she have any degrees in data science?
24,about_me_personally__my_past__DSR,did she study machine learning?
25,about_me_personally__my_past__DSR,what does rita think about the bullshit on the internet?
26,about_me_personally__my_past__DSR,Was it worth doing a data science bootcamp?
27,about_me_personally__my_past__DSR,did she study at dsr?
28,about_me_personally__my_past__DSR,did she meet interesting people at the course she did to suty machine learning?
29,about_me_personally__my_past__DSR,where did she study ml?
30,about_me_personally__my_past__DSR,which were the first steps she took to become an engineer?
31,about_me_personally__my_past__DSR,where did she learn nlp?
32,about_me_personally__my_past__DSR,wat did rita learn at DSR?
33,about_me_personally__my_past__DSR,what about telling me about dsr
34,about_me_personally__my_past__DSR,did she study at a dsr bootcamp?
35,about_me_personally__my_past__DSR,what do they teach at dsr?
36,about_me_personally__my_past__DSR,was dsr worth it?
37,about_me_personally__my_past__DSR,Where did you learn data science?
38,about_me_personally__my_past__DSR,what was the name of the ML bootcamp she did?
39,about_me_personally__my_past__DSR,would rita recommend the course she did to learn data science?
40,about_me_personally__my_past__DSR,would you recommmend dsr?
41,about_me_personally__my_past__DSR,did she learn a lot at dsr?
42,about_me_personally__my_past__DSR,was the course she took to become a data scientist very expensive?
43,about_me_personally__my_past__DSR,When did she start with machine learning?
44,about_me_personally__my_past__DSR,how long ago did she start studying data science?
45,about_me_personally__my_past__DSR,where did rita study to become a data scientist?
