,NE_key,NE_value0,len_val,NE_value
0,1_you_,u,1,u
1,0_programming_langs_,R,1,r
2,0_programming_langs_,C,1,c
3,2_formality_,hi,2,hi
4,1_you_,ur,2,ur
5,0_jose_,he,2,he
6,0_artificial_intelligence_,ai,2,ai
7,0_neural_nets_,nn,2,nn
8,0_machine_learning_,ml,2,ml
9,0_bot_,VA,2,va
10,0_not_,nt,2,nt
11,0_grandpa_,dad,3,dad
12,0_tech_,AWS,3,aws
13,0_tech_,GPU,3,gpu
14,0_tech_,CPU,3,cpu
15,0_tech_,SRE,3,sre
16,0_tech_,IDE,3,ide
17,1_you_,you,3,you
18,0_neural_nets_,gru,3,gru
19,1_rita_,her,3,her
20,0_tech_,SAP,3,sap
21,1_rita_,she,3,she
22,1_talk_,gab,3,gab
23,1_talk_,yak,3,yak
24,0_NLP_,NLG,3,nlg
25,0_NLP_,NLU,3,nlu
26,0_have_,own,3,own
27,0_not_,n't,3,n't
28,1_tell_,say,3,say
29,0_familiy_,mom,3,mom
30,0_university_,uni,3,uni
31,0_tech_,api,3,api
32,0_neural_nets_,RNN,3,rnn
33,0_programming_langs_,SQL,3,sql
34,2_child_,kid,3,kid
35,0_programming_langs_,PHP,3,php
36,0_tech_,svn,3,svn
37,0_tech_,git,3,git
38,2_exit_conv_,bye,3,bye
39,0_programming_langs_,css,3,css
40,0_strange_,odd,3,odd
41,2_formality_,hey,3,hey
42,2_who_,whom,4,whom
43,0_genital_,knob,4,knob
44,0_genital_,cock,4,cock
45,0_genital_,dick,4,dick
46,2_child_,girl,4,girl
47,0_programming_langs_,Ruby,4,ruby
48,0_programming_langs_,Rust,4,rust
49,1_expressing_opinion_,view,4,view
50,0_brave_,bold,4,bold
51,1_want_,wish,4,wish
52,1_want_,need,4,need
53,0_programming_langs_,Perl,4,perl
54,2_exit_conv_,exit,4,exit
55,0_programming_langs_,Java,4,java
56,0_VA_providers_,rasa,4,rasa
57,0_neural_nets_,lstm,4,lstm
58,0_jose_,Jose,4,jose
59,0_genital_,quim,4,quim
60,0_alexa_,siri,4,siri
61,0_tech_,Unix,4,unix
62,0_nice_,cool,4,cool
63,0_nice_,fine,4,fine
64,1_tell_,show,4,show
65,0_genital_,twat,4,twat
66,1_talk_,chat,4,chat
67,0_good_,deft,4,deft
68,0_tech_,REST,4,rest
69,1_you_,your,4,your
70,0_tech_,SPSS,4,spss
71,0_programming_langs_,HTML,4,html
72,1_end_,stop,4,stop
73,0_nice_,cute,4,cute
74,0_have_,boast,5,boast
75,0_brave_,gutsy,5,gutsy
76,0_give_,offer,5,offer
77,0_genital_,fanny,5,fanny
78,1_start_,begin,5,begin
79,0_genital_,minge,5,minge
80,0_good_,adept,5,adept
81,0_strange_,weird,5,weird
82,0_genital_,willy,5,willy
83,0_bot_,botty,5,botty
84,0_humankind_,human,5,human
85,0_genital_,penis,5,penis
86,0_jose_,hubby,5,hubby
87,0_jose_,Johan,5,johan
88,0_genital_,prick,5,prick
89,0_genital_,snake,5,snake
90,0_genital_,pussy,5,pussy
91,0_ML_tool_,spacy,5,spacy
92,0_other_languages_,hindi,5,hindi
93,1_end_,cease,5,cease
94,1_tell_,brief,5,brief
95,1_koran_,quran,5,quran
96,0_tech_,Kafka,5,kafka
97,1_koran_,islam,5,islam
98,0_tech_,Linux,5,linux
99,1_previous_company_,Twyla,5,twyla
100,1_tell_,paint,5,paint
101,2_formality_,hello,5,hello
102,2_formality_,howdy,5,howdy
103,0_ML_tool_,keras,5,kera
104,0_programming_langs_,NoSQL,5,nosql
105,1_expressing_opinion_,think,5,think
106,0_programming_langs_,Scala,5,scala
107,1_know_,grasp,5,grasp
108,0_programming_langs_,Swift,5,swift
109,1_know_,study,5,study
110,1_know_,learn,5,learn
111,2_formality_,merci,5,merci
112,1_talk_,speak,5,speak
113,2_formality_,thanks,6,thank
114,0_brave_,ballsy,6,ballsy
115,1_koran_,muslim,6,muslim
116,0_good_,gifted,6,gifted
117,1_koran_,qur'an,6,qur'an
118,0_good_,adroit,6,adroit
119,1_talk_,gossip,6,gossip
120,1_end_,finish,6,finish
121,1_tell_,sketch,6,sketch
122,1_know_,notice,6,notice
123,1_want_,desire,6,desire
124,0_bot_,bottie,6,bottie
125,1_expressing_opinion_,regard,6,regard
126,1_expressing_opinion_,prefer,6,prefer
127,1_expressing_opinion_,rather,6,rather
128,0_grandpa_,father,6,father
129,1_tell_,depict,6,depict
130,1_tell_,inform,6,inform
131,0_familiy_,sister,6,sister
132,0_jose_,fiance,6,fiance
133,0_brave_,plucky,6,plucky
134,1_tell_,notify,6,notify
135,1_tell_,relate,6,relate
136,1_tell_,unfold,6,unfold
137,1_tell_,retail,6,retail
138,0_familiy_,mother,6,mother
139,0_jose_,Joseph,6,joseph
140,0_programming_langs_,Python,6,python
141,0_VA_providers_,watson,6,watson
142,0_genital_,snatch,6,snatch
143,0_programming_langs_,Matlab,6,matlab
