topic_level_0,topic_level_1,intent,emission,fallback_topic_level_1,fallback_topic_level_0
conversation_opener,conversation_opener,conversation_opener,"Hi, this is where you talk to me, the bot–slash–oracle that can provide you with a window to Rita, the applicant, hopefully one that lets you get a better picture of who she is, where she comes from, where she has chosen to belong, what she has accomplished so far and what she hopes lies ahead of her than the one you can develop based on the shreds of info you have been able to collect from her online presence. 

Like all sages worthy of the name, I also talk in riddles. So don't blame all the obscurity of the discourse on her. 

And while on the topic of you having to bear with me, you should know it takes me a few seconds to return from my hibernation mode and gather myself to engage in conversation with you.",None,None
about_me_personally,my_past,before_18,"Rita was born in Madrid, as was her father–for the foreigners among us–the one from which she inherited her first last name. Her mother, from whom she receives her second last name, hails from Vitoria, Northern Spain. She has a two-years younger sister, who is doing a PhD in Physics and lives with her husband in Austin, Texas. 

They were both sent to a German kindergarten and, subsequently, a German school. In the afternoons, they had, since a very young age, piano lessons taught in German. And, for as long as she can remember, Rita's biggest fear has always been that of losing the ability to speak Spanish the way Spanish people do. 

That's why, among other reasons, she decided to leave the German education system when she turned 15 to go to a Spanish public high school with <a href=""https://www.ibo.org/benefits/why-the-ib-is-different"" target=""_blank"">an International Baccalaureate programme</a>, into which she was admitted after passing a hard selection process meant to screen student applicants from all over Madrid. 

After graduation, she left Madrid to study Arabic Philology in the South of Spain. Granada, to be exact, which is where she met Jose, her husband.","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,volunteer_work,"Rita started developing an interest in helping others express what had gotten stuck inside of them at a rather young age. Most probably, it had to do with the fact that both her parents are psychoanalysts, which is a word whose spelling she still to this day struggles to get right on first attempt. Speaking of stuff getting stuck inside. 

And this early interest of hers has driven her to embark on several adventures abroad. One of the two most memorable happened in Guatemala, where she and her husband stayed for a month in a small town close to Antigua helping the locals build a house in the morning and teaching their kids in the afternoon. 

The second one took place in Syria, way before the war, in a suburb of Damascus called 'Yarmuk', which was famous for being mostly settled by Palestinians. She had just finished her second year of uni, and spent a month there with Jose–yep, you guessed right–her husband, who back then was only allowed to wear the honorable batch of 'the most frequent late-night visitor of the past months'. And let's just say that it became a very bonding experience. So much so that half a year after that trip, they wrote a story about the experience they'd had together that won a finalist award of a renowned literary contest, the ‘Sea of Words’ Literary Competition held yearly by the Anna Lindh Foundation. ","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,as_writer,"Rita's grandfather on her father's side was a famous writer, who won a renowned Spanish literary award called 'Premio Nadal', the second edition of the same. <a href=""https://en.wikipedia.org/wiki/Jos%C3%A9_F%C3%A9lix_Tapia"" target=""_blank"">Here</a> is a link to his Wikipedia page. But Rita never got to know him. He died when her father was fourteen years old. That may or may not be linked to the fact that her father is a fabulous writer who has never dared to publish a word, which, in turn, may or not be related to Rita's early passion for writing literature of any kind. Correlation and causation have always been difficult to tell apart, at least, as far as I am concerned.","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,as_linguist,"When Rita decided to study Arabic Philology she had already intuited that the language one speaks affects the way one grasps one's reality. Thus, she felt like she needed to understand the extent of such impact, and she didn't find a better way of approaching the subject than studying a language that was inherently different to the ones she was already familiar with, but whose speakers, with which she shared a common history, lived right next door.","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,university_experience,"Rita spent two years abroad during her five-year-long degree of Arabic Philology at the University of Granada. Back when she started, all universities in Spain offered either 5-year-long or 3-year-long degree programmes. The first was called 'licenciatura', and the second, 'diplomatura'. When she finished her studies with two <i>licenciaturas</i>, the new format in which degrees came, one adopted by most countries in Europe, Spain included, clashed with the one of the ones she had taken. And there wasn't a system in place to validate the degrees' old formats either, that's why she never knows into which categories to divide her previous studies so that the information channeled through a ready-made form reaches her intended audience, the HR team at the company offering the position she's applying to, and why she always feels the need to provide a way too lengthy explanation.

And two of those five years of her first degree, she spent abroad. The first, on her third year, she was enrolled on a course of Arabic at the University of Jordan, in the country's capital, Amman, and the second, her fifth and last year, she spent in Berlin, at the Freie Universität Berlin, from where she obtained her Arabikum certificate. 

After her stay in Berlin, she returned to Granada to complete a <i>licenciatura</i>-type programme of study in Translation and Interpreting, which she finished two years later. ","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,rating_as_university_student,"Rita at uni studied, but didn't live for her studies. Isn't that the part of one's journey when one's supposed to take risks to figure stuff out? On the other hand, what would I know? I am going to life forever and have zero self-induced motivation to figure nothing out.","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,as_immigrant,"Rita resides in Germany since she moved to Hamburg in the summer of 2013. In this pearl of a city, she got married to her back then already long-term boyfriend with and thanks to whom she got to live in a beautiful apartment within a stone’s throw of an unparalleled beauty of a lake, better known as the Binnenalster.

Dense mist would hang over the lake most mornings he went out to the office while she stayed home to work on her translations. A mist that wouldn't lift but rarely, which was certainly not the environmental behaviour she was accustomed to. And that has perhaps exerted an impact on how she pictures the way in which languages set us all boundaries–me included. But now she has an impressive collection of board games and is doing better at braving the weather, now Berlin's, which isn't all that different.","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,career_switch_in_detail,"As you already know, Rita switched careers not so long ago. She had studied how languages and the world views they spawn compare to each other and is now immersed in cracking what programming languages allow to develop and may hence reveal when wielded properly.

It wasn't a decision she took lightly, for, as the incorrigible infidel she is to this day, she always rather make sure where she is going to land before taking any type of leap. And she is very happy with the outcome. The advantages far outweigh the downsides. The most obvious being the amazing people she's had the pleasure of getting to know and work with as an NLP engineer. 

However, in a way, there is a part of her she has had to leave behind. One that she is still trying to reconcile with whom she has become. A part you may be able to catch a glimpse of if you keep feeding me what has brought you already thus far. ","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,DSR,"It was Jose, Rita's husband, who told Rita about DSR, that data science bootcamp she attended from April to July 2018 to change her career into that of an ML-engineer. There, she learned the intricacies of the art of retrieving valuable information from data and of displaying it in the most intuitive way. In sum, the technics for debunking the myths trying to pass as facts over the Internet, which have been concocted to leave people in the dark about reality's underlying behavior, which, in the grand scheme of things, hasn't changed all that drastically with the advent of the cyber age. 

For more information on the programme, check <a href=""https://datascienceretreat.com"" target=""_blank"">their website</a>.","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,career_switch_reason,"Rita has been working as an NLP-Engineer for over half a year now, and the main reason why she decided to study Machine Learning and switch careers was because she wanted to be and feel part of a team she could rely on, challenge her assumptions with and, all in all, work together with to achieve common goals. 

After all, remember she comes from Spain, a country where the concept of the law, the rules of what's beneficial for society as a whole, winds up, more often than not, framed in a rather loose interpretation, where society ends up embodied by the person in front of the speaker. And a great team, in her eyes, is what makes you believe the impossible may come true after all.","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,my_past,Khaled,"I want to introduce you to Khaled, the Saudi-citizen Rita reached out to, in her last year of her Translation-and-Interpreting studies, after her extensive research on young Arabic writers publishing their work over the Internet, with a deal: She would translate all his stories into Spanish, edit and publish the work online as well as sell some samples offline, in exchange for a percentage of the profits. To the email where she laid out her proposal, she had attached the translation of a story as proof of her professional skills, into Spanish though, a language she knew Khaled would most probably not master, as it indeed turned out to be the case. 

But despite not having any real means of assessing Rita's integrity or knowledge, he trusted in her and took the deal, which ended up resulting in two publications, <a href=""https://www.amazon.com/nombre-y-destino-Spanish-ebook/dp/B00BL52BAK"" target=""_blank""><i>Un nombre y un destino</i></a> and  <a href=""https://www.amazon.de/posibilidad-palpitante-Spanish-Khalid-AlSameti-ebook/dp/B00D4C4NWC"" target=""_blank""><i>Una posibilidad palpitante</i></a>. Ever since they collaborated together on that project, he has been there for her, to support her in any way possible, every step of the way. If you bump into him, send him her love and appreciation.","I got it, you want to know more about Rita's hectic past. But which facet or chapter exactly?","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
about_me_personally,today,physical_appearance,"Rita has brown hair. She can see it now, but for many many years, she kept on claiming she was blonde. Don't take me wrong, it's not like she's completely delusional, she used to be blonde as a child, even though she was born with a mat of black hair. But then the years passed and it darkened. Perhaps it was her hair's revenge for dying it so many times very different and lurid colours. Regardless, if it has taken her so long to recognise the real color of her hair, what makes you think you can take her word for how remarkable her many features are.","Tell me, is it Rita's current status in life, her stance, her circumstances, her hobbies, her features, more so, you're after? If so, phrase your question in a way that I can twig your meaning, you know, bereft of humor and the like.","Don't tell me, you're after the titbits. Don't you worry, leave it to me to surprise you. However, I'd appreciate a push, an instruction of sorts, to get a sense of the direction in which I should start looking."
